,region,mango_grade,papaya_grade,mango_suitability,papaya_suitability
5,전북특별자치도 순창군,적합,적합,1급,2급
7,전북특별자치도 부안군,적합,적합,2급,2급
8,전라남도 목포시,적합,적합,2급,1급
9,전라남도 여수시,매우 적합,매우 적합,2급,2급
10,전라남도 순천시,매우 적합,적합,1급,2급
11,전라남도 광양시,매우 적합,매우 적합,1급,2급
12,전라남도 고흥군,매우 적합,매우 적합,1급,2급
13,전라남도 보성군,매우 적합,매우 적합,2급,1급
14,전라남도 장흥군,매우 적합,매우 적합,2급,1급
15,전라남도 강진군,적합,적합,2급,2급
16,전라남도 해남군,적합,매우 적합,2급,1급
17,전라남도 영광군,적합,적합,2급,2급
18,전라남도 완도군,매우 적합,매우 적합,2급,1급
19,전라남도 진도군,매우 적합,매우 적합,2급,1급
20,전라남도 신안군,적합,매우 적합,2급,1급
21,경상북도 경주시,적합,적합,1급,2급
22,경상북도 안동시,적합,적합,2급,1급
23,경상북도 구미시,적합,적합,1급,2급
24,경상북도 영주시,적합,적합,1급,2급
25,경상북도 영천시,적합,적합,2급,2급
26,경상북도 문경시,적합,적합,2급,1급
27,경상북도 의성군,적합,제한적 적합,1급,2급
28,경상북도 청송군,적합,제한적 적합,1급,2급
29,경상북도 영덕군,매우 적합,매우 적합,1급,2급
30,경상북도 봉화군,적합,적합,1급,2급
31,경상북도 울진군,매우 적합,매우 적합,2급,1급
32,경상북도 울릉군,적합,매우 적합,2급,1급
33,경상남도 진주시,매우 적합,적합,1급,2급
34,경상남도 통영시,매우 적합,매우 적합,2급,1급
35,경상남도 김해시,매우 적합,매우 적합,2급,1급
36,경상남도 밀양시,적합,적합,1급,2급
37,경상남도 거제시,매우 적합,매우 적합,1급,2급
38,경상남도 양산시,적합,적합,1급,2급
39,경상남도 의령군,적합,적합,1급,2급
40,경상남도 남해군,매우 적합,매우 적합,2급,2급
41,경상남도 산청군,적합,적합,2급,1급
42,경상남도 함양군,적합,적합,2급,2급
43,경상남도 거창군,적합,적합,2급,2급
44,경상남도 합천군,적합,적합,2급,1급
45,제주특별자치도 제주시,매우 적합,매우 적합,1급,2급
46,제주특별자치도 서귀포시,매우 적합,매우 적합,2급,1급
